word,War_and_Peace_count,War_and_Peace_per10k,Anna_Karenina_count,Anna_Karenina_per10k
salutation,0,0.0,1,0.05809866314976093
died,54,1.803739753756121,26,1.510565241893784
gentry,17,0.5678439965528529,2,0.11619732629952186
construct,0,0.0,2,0.11619732629952186
nether,1,0.03340258803252076,0,0.0
imploring,8,0.2672207042601661,5,0.2904933157488046
harvest,8,0.2672207042601661,3,0.17429598944928276
shy,16,0.5344414085203322,11,0.6390852946473701
yus,2,0.06680517606504152,0,0.0
arranging,19,0.6346491726178944,12,0.697183957797131
slave,11,0.3674284683577283,4,0.2323946525990437
wriggle,2,0.06680517606504152,0,0.0
legitimization,0,0.0,1,0.05809866314976093
matchmaker,1,0.03340258803252076,1,0.05809866314976093
illimitable,1,0.03340258803252076,0,0.0
hatred,18,0.6012465845853736,26,1.510565241893784
agreeable,27,0.9018698768780605,15,0.8714799472464139
ceremonious,2,0.06680517606504152,1,0.05809866314976093
unrestrained,1,0.03340258803252076,0,0.0
humiliated,3,0.10020776409756228,13,0.755282620946892
asiatic,3,0.10020776409756228,0,0.0
secretly,6,0.20041552819512456,2,0.11619732629952186
subsequently,11,0.3674284683577283,0,0.0
railway,0,0.0,21,1.2200719261449795
berkoot,0,0.0,2,0.11619732629952186
physical,36,1.2024931691707472,32,1.8591572207923497
tuesday,4,0.13361035213008304,5,0.2904933157488046
murmurs,2,0.06680517606504152,0,0.0
agencies,1,0.03340258803252076,0,0.0
blindfold,2,0.06680517606504152,0,0.0
gravitation,5,0.1670129401626038,0,0.0
preeminently,0,0.0,1,0.05809866314976093
included,11,0.3674284683577283,0,0.0
compared,24,0.8016621127804983,2,0.11619732629952186
ventilation,0,0.0,1,0.05809866314976093
compassion,3,0.10020776409756228,4,0.2323946525990437
couple,30,1.0020776409756227,12,0.697183957797131
precipitous,0,0.0,1,0.05809866314976093
coffeepot,1,0.03340258803252076,1,0.05809866314976093
off,431,14.396515442016447,360,20.91551873391393
intangible,4,0.13361035213008304,0,0.0
backs,8,0.2672207042601661,3,0.17429598944928276
thule,0,0.0,1,0.05809866314976093
nscht,0,0.0,1,0.05809866314976093
postmaster's,1,0.03340258803252076,0,0.0
evidence,4,0.13361035213008304,7,0.40669064204832645
horseback,6,0.20041552819512456,9,0.5228879683478483
effectual,0,0.0,1,0.05809866314976093
churches,20,0.6680517606504152,5,0.2904933157488046
paraded,1,0.03340258803252076,0,0.0
kochub,13,0.4342336444227699,0,0.0
ceaselessly,1,0.03340258803252076,0,0.0
varvara,0,0.0,31,1.8010585576425886
gelding,3,0.10020776409756228,1,0.05809866314976093
claret,2,0.06680517606504152,0,0.0
excursions,2,0.06680517606504152,0,0.0
redemption,0,0.0,2,0.11619732629952186
harkov,0,0.0,1,0.05809866314976093
dignified,7,0.2338181162276453,5,0.2904933157488046
employing,1,0.03340258803252076,0,0.0
stenka,1,0.03340258803252076,0,0.0
you'd,17,0.5678439965528529,24,1.394367915594262
