word,G2_signed,War_and_Peace_per10k,Anna_Karenina_per10k
folly,4.39764422874438,0.3340258803252076,0.05809866314976093
madam,4.39764422874438,0.3340258803252076,0.05809866314976093
priests,4.39764422874438,0.3340258803252076,0.05809866314976093
centered,4.39764422874438,0.3340258803252076,0.05809866314976093
preceding,4.39764422874438,0.3340258803252076,0.05809866314976093
mal,4.39764422874438,0.3340258803252076,0.05809866314976093
throughout,4.39764422874438,0.3340258803252076,0.05809866314976093
distribution,4.39764422874438,0.3340258803252076,0.05809866314976093
grows,4.39764422874438,0.3340258803252076,0.05809866314976093
occupying,4.39764422874438,0.3340258803252076,0.05809866314976093
continuous,4.39764422874438,0.3340258803252076,0.05809866314976093
flared,4.39764422874438,0.3340258803252076,0.05809866314976093
named,4.39764422874438,0.3340258803252076,0.05809866314976093
captain's,4.39764422874438,0.3340258803252076,0.05809866314976093
range,4.39764422874438,0.3340258803252076,0.05809866314976093
quantity,4.39764422874438,0.3340258803252076,0.05809866314976093
maiden,4.39764422874438,0.3340258803252076,0.05809866314976093
tsar's,4.39764422874438,0.3340258803252076,0.05809866314976093
fleeing,4.39764422874438,0.3340258803252076,0.05809866314976093
lacking,4.39764422874438,0.3340258803252076,0.05809866314976093
flag,4.39764422874438,0.3340258803252076,0.05809866314976093
eye,4.356311811038561,1.803739753756121,1.0457759366956967
partner,4.340828965424963,0.835064700813019,0.3485919788985655
abandon,4.340828965424963,0.835064700813019,0.3485919788985655
obtain,4.340828965424963,0.835064700813019,0.3485919788985655
gracious,4.340828965424963,0.835064700813019,0.3485919788985655
showed,4.338460170019843,3.6742846835772833,2.5563411785894803
thousand,4.316315252123918,5.711842553561049,4.299301073082309
riding,4.294184768576519,2.1711682221138493,1.3362692524445012
arrived,4.284114476667366,3.1064406870244303,2.0915518733913934
cousin,4.275526804557419,1.1690905811382266,0.5809866314976092
reach,4.275526804557419,1.1690905811382266,0.5809866314976092
mention,4.262467171953219,1.0020776409756227,0.4647893051980874
sing,4.262467171953219,1.0020776409756227,0.4647893051980874
attacked,4.262467171953219,1.0020776409756227,0.4647893051980874
whom,4.235624981387929,13.59485332923595,11.387337977353141
service,4.201153755651056,4.342336444227699,3.13732781008709
il,4.200621044580492,1.402908697365872,0.755282620946892
men's,4.187488597444521,0.7348569367154566,0.2904933157488046
deserted,4.187488597444521,0.7348569367154566,0.2904933157488046
hunt,4.187488597444521,0.7348569367154566,0.2904933157488046
features,4.187488597444521,0.7348569367154566,0.2904933157488046
until,4.187488597444521,0.7348569367154566,0.2904933157488046
assistant,4.187488597444521,0.7348569367154566,0.2904933157488046
oak,4.187488597444521,0.7348569367154566,0.2904933157488046
ahead,4.107687705234133,1.235895757203268,0.6390852946473701
joyfully,4.107687705234133,1.235895757203268,0.6390852946473701
works,4.107687705234133,1.235895757203268,0.6390852946473701
passionately,4.068035974328428,0.6346491726178944,0.2323946525990437
discussed,4.068035974328428,0.6346491726178944,0.2323946525990437
quarter,4.068035974328428,0.6346491726178944,0.2323946525990437
representative,4.060102833387001,0.4342336444227699,0.11619732629952186
ebook,4.060102833387001,0.4342336444227699,0.11619732629952186
goods,4.060102833387001,0.4342336444227699,0.11619732629952186
brighter,4.060102833387001,0.4342336444227699,0.11619732629952186
horizon,4.060102833387001,0.4342336444227699,0.11619732629952186
skillful,4.060102833387001,0.4342336444227699,0.11619732629952186
misfortunes,4.060102833387001,0.4342336444227699,0.11619732629952186
undressing,4.060102833387001,0.4342336444227699,0.11619732629952186
kingdom,4.060102833387001,0.4342336444227699,0.11619732629952186
tale,4.060102833387001,0.4342336444227699,0.11619732629952186
appearing,4.060102833387001,0.4342336444227699,0.11619732629952186
stake,4.060102833387001,0.4342336444227699,0.11619732629952186
severity,4.060102833387001,0.4342336444227699,0.11619732629952186
posts,4.060102833387001,0.4342336444227699,0.11619732629952186
witnessed,4.060102833387001,0.4342336444227699,0.11619732629952186
lights,4.060102833387001,0.4342336444227699,0.11619732629952186
groans,4.060102833387001,0.4342336444227699,0.11619732629952186
repeatedly,4.060102833387001,0.4342336444227699,0.11619732629952186
blocking,4.060102833387001,0.4342336444227699,0.11619732629952186
tipsy,4.060102833387001,0.4342336444227699,0.11619732629952186
distinguished,4.052616941441604,1.0688828170406643,0.5228879683478483
faced,4.052616941441604,1.0688828170406643,0.5228879683478483
cloak,4.027936232689633,1.7703371657236004,1.0457759366956967
carry,4.027936232689633,1.7703371657236004,1.0457759366956967
inn,4.006866965356426,0.5344414085203322,0.17429598944928276
mark,4.006866965356426,0.5344414085203322,0.17429598944928276
sufficient,4.006866965356426,0.5344414085203322,0.17429598944928276
imagining,4.006866965356426,0.5344414085203322,0.17429598944928276
flesh,4.006866965356426,0.5344414085203322,0.17429598944928276
execution,4.006866965356426,0.5344414085203322,0.17429598944928276
attentive,4.006866965356426,0.5344414085203322,0.17429598944928276
replies,4.006866965356426,0.5344414085203322,0.17429598944928276
puckered,4.006866965356426,0.5344414085203322,0.17429598944928276
drunken,4.006866965356426,0.5344414085203322,0.17429598944928276
merit,4.006866965356426,0.5344414085203322,0.17429598944928276
represented,4.006866965356426,0.5344414085203322,0.17429598944928276
already,3.992625765404128,10.855841110569246,8.947194125063183
ones,3.9501289368575705,1.8371423417886417,1.1038745998454575
known,3.947358019609041,4.910180440780552,3.6602157784349383
body,3.94405470001805,3.340258803252076,2.323946525990437
uniforms,3.8761944843418608,1.1356879931057058,0.5809866314976092
none,3.8722771653676045,1.6033242255609965,0.9295786103961748
brothers,3.8722771653676045,1.6033242255609965,0.9295786103961748
childlike,3.8705653726886826,0.8016621127804983,0.3485919788985655
constantly,3.8705653726886826,0.8016621127804983,0.3485919788985655
pretext,3.8705653726886826,0.8016621127804983,0.3485919788985655
cease,3.8705653726886826,0.8016621127804983,0.3485919788985655
