adverb,G2_signed,War_and_Peace_per10k,Anna_Karenina_per10k
thoughtfully,2.5587937056807557,0.1206669781023911,0.028407638245771524
singly,2.5587937056807557,0.1206669781023911,0.028407638245771524
morosely,2.5587937056807557,0.1206669781023911,0.028407638245771524
continuously,2.5587937056807557,0.1206669781023911,0.028407638245771524
disorderly,2.5587937056807557,0.1206669781023911,0.028407638245771524
terribly,2.4610654377944545,0.25857209593369523,0.1136305529830861
rapidly,2.2628591026177585,1.6376232742467363,1.2499360828139472
incessantly,2.153060799742458,0.3275246548493473,0.17044582947462913
strangely,2.0608748454364934,0.36200093430717334,0.19885346772040066
sufficiently,2.000637138509984,0.15514325756021713,0.05681527649154305
gratefully,2.000637138509984,0.15514325756021713,0.05681527649154305
briefly,2.000637138509984,0.15514325756021713,0.05681527649154305
fly,1.9421323856501118,0.4309534932228254,0.2556687442119437
