adverb,War_and_Peace_count,War_and_Peace_per10k,Anna_Karenina_count,Anna_Karenina_per10k
slowly,38,0.6550493096986946,37,1.0510826150935464
generally,38,0.6550493096986946,13,0.3692992971950298
gaily,37,0.6378111699697815,21,0.596560403161202
joyfully,37,0.6378111699697815,11,0.3124840207034868
directly,36,0.6205730302408685,70,1.9885346772040067
loudly,36,0.6205730302408685,21,0.596560403161202
softly,36,0.6205730302408685,18,0.5113374884238874
occasionally,36,0.6205730302408685,2,0.05681527649154305
usually,35,0.6033348905119555,19,0.5397451266696589
timidly,35,0.6033348905119555,17,0.4829298501781159
seriously,34,0.5860967507830426,17,0.4829298501781159
lightly,33,0.5688586110541295,22,0.6249680414069736
inquiringly,33,0.5688586110541295,16,0.4545222119323444
attentively,32,0.5516204713252164,19,0.5397451266696589
friendly,31,0.5343823315963034,32,0.9090444238646888
eagerly,31,0.5343823315963034,18,0.5113374884238874
deeply,31,0.5343823315963034,14,0.3977069354408013
tely,31,0.5343823315963034,0,0.0
exactly,30,0.5171441918673905,36,1.0226749768477748
plainly,30,0.5171441918673905,12,0.34089165894925827
entirely,29,0.4999060521384774,20,0.5681527649154304
intently,28,0.4826679124095644,27,0.7670062326358311
heavily,28,0.4826679124095644,17,0.4829298501781159
finally,28,0.4826679124095644,11,0.3124840207034868
melancholy,28,0.4826679124095644,7,0.19885346772040066
personally,28,0.4826679124095644,4,0.1136305529830861
closely,28,0.4826679124095644,3,0.08522291473731457
unconsciously,26,0.44819163295173836,44,1.2499360828139472
distinctly,25,0.4309534932228254,33,0.9374520621104603
fly,25,0.4309534932228254,9,0.2556687442119437
perfectly,24,0.41371535349391236,55,1.5624201035174337
vividly,24,0.41371535349391236,18,0.5113374884238874
constantly,24,0.41371535349391236,6,0.17044582947462913
lovely,23,0.39647721376499934,20,0.5681527649154304
brightly,23,0.39647721376499934,15,0.42611457368657285
gradually,23,0.39647721376499934,6,0.17044582947462913
elderly,23,0.39647721376499934,6,0.17044582947462913
smilingly,23,0.39647721376499934,1,0.028407638245771524
curly,22,0.37923907403608637,16,0.4545222119323444
painfully,22,0.37923907403608637,13,0.3692992971950298
instantly,22,0.37923907403608637,13,0.3692992971950298
boldly,22,0.37923907403608637,11,0.3124840207034868
naturally,22,0.37923907403608637,8,0.2272611059661722
newly,22,0.37923907403608637,6,0.17044582947462913
absolutely,21,0.36200093430717334,31,0.8806367856189172
greatly,21,0.36200093430717334,23,0.653375679652745
rarely,21,0.36200093430717334,17,0.4829298501781159
calmly,21,0.36200093430717334,17,0.4829298501781159
equally,21,0.36200093430717334,10,0.2840763824577152
strangely,21,0.36200093430717334,7,0.19885346772040066
strongly,21,0.36200093430717334,1,0.028407638245771524
coldly,20,0.34476279457826026,19,0.5397451266696589
merrily,20,0.34476279457826026,14,0.3977069354408013
gently,20,0.34476279457826026,13,0.3692992971950298
inevitably,20,0.34476279457826026,9,0.2556687442119437
differently,19,0.3275246548493473,20,0.5681527649154304
severely,19,0.3275246548493473,13,0.3692992971950298
physically,19,0.3275246548493473,10,0.2840763824577152
sharply,19,0.3275246548493473,9,0.2556687442119437
incessantly,19,0.3275246548493473,6,0.17044582947462913
passionately,19,0.3275246548493473,4,0.1136305529830861
obviously,18,0.31028651512043426,77,2.1873881449244075
mentally,18,0.31028651512043426,13,0.3692992971950298
sincerely,18,0.31028651512043426,7,0.19885346772040066
uneasily,18,0.31028651512043426,5,0.1420381912288576
